
Nucleus      Ex   T1/2      Jπ       m(nm)             Method      NSR_Keynumber       Journal_Reference
35 Br 74   14    46 m          4(+)     1.820(12)       NMR/ON       1992Pr06            HFI 75 275 (92)

35 Br 75   0     97 m          3/2-     +0.76(18)       NO/S         1992Gr20            PR C46 2228 (92)

35 Br 76   0     16.2 h        1-       0.5477(1)       AB           1960Li11            PR 119 1053 (60)

35 Br 77   0     57 h          3/2-     0.9731(6)       NMR/ON       1993Oh09            HFI 78 485 (93)

35 Br 78   0     6.45 m        1+       0.13(3)         NO/S         1992Pr06            HFI 75 275 (92)

35 Br 79   0     stable        3/2-     +2.1046(6)      N            1972Bl07            ZNat 27a 72 (72)

35 Br 80   0     17.7 m        1+       0.5135(6)       AB           1964Wh05            PR 136 B584 (64)
35 Br 80   86    4.42 h        5-       +1.3165(6)      AB           1964Wh05            PR 136 B584 (64)

35 Br 81   0     stable        3/2-     +2.2686(6)      N            1972Bl07            ZNat 27a 72 (72)

35 Br 82   0     35.3 h        5-       +1.6256(6)      AB           1959Ga12            PR 116 393 (59)

35 Br 84   0     31.8 m        2-       1.9(7)          NO/S         1992Pr06            HFI 75 275 (92)

36 Kr 75   0     4.6 m         5/2+     -0.531(4)       CFBLS        1995Ke04            NP A586 219 (95)

36 Kr 77   0     74.4 m        5/2+     -0.583(3)       CFBLS        1995Ke04            NP A586 219 (95)

36 Kr 79   0     35.04 h       1/2-     +0.536(2)       CFBLS        1995Ke04            NP A586 219 (95)
36 Kr 79   130   50 s          7/2+     -0.785(2)       CFBLS        1995Ke04            NP A586 219 (95)

36 Kr 81   0     2.3x105 y   7/2+     -0.907(2)       CFBLS        1995Ke04            NP A586 219 (95)
36 Kr 81   191   13.1 s        1/2-     +0.586(2)       CFBLS        1995Ke04            NP A586 219 (95)

36 Kr 83   0     stable        9/2+     -0.970730(3)    NMR          2014Mb01            Magn Res Chem 52 430 (2014)
36 Kr 83   42    1.83 h        1/2-     +0.591(2)       CFBLS        1995Ke04            NP A586 219 (95)

36 Kr 85   0     10.74 y       9/2+     -1.0055(4)      LRFS         1993Ca41            PR A47 1148 (93)
36 Kr 85   305   4.48 h        1/2-     +0.632(2)       CFBLS        1995Ke04            NP A586 219 (95)

36 Kr 87   0     76.3 m        5/2+     -1.022(2)       CFBLS        1995Ke04            NP A586 219 (95)

36 Kr 89   0     3.15 m        3/2+     -0.330(3)       CFBLS        1995Ke04            NP A586 219 (95)

36 Kr 91   0     8.57 s        5/2+     -0.583(2)       CFBLS        1995Ke04            NP A586 219 (95)

36 Kr 93   0     1.286 s       1/2+     -0.413(2)       CFBLS        1995Ke04            NP A586 219 (95)

36 Kr 95   0     0.114 s       1/2(+)   -0.410(3)       CFBLS        1995Ke04            NP A586 219 (95)

37 Rb 75   0     19 s          3/2(-)   +0.579(1)       CLS          2015Pr05            Eur Phys J 51 23 (2015)

37 Rb 76   0     36.5 s        1(-)     -0.372552(11)   ABLS         1986Du16/1981Th04   JPPa 47 1903 (86)/PR C23 2720 (81)

37 Rb 77   0     3.8 m         3/2-     +0.65434(2)     ABLS         1986Du16/1981Th04   JPPa 47 1903 (86)/PR C23 2720 (81)

37 Rb 78   103   5.7 m         4(-)     +2.548(1)       CLS          2015Pr05            Eur Phys J 51 23 (2015)




20
37 Rb 79   0     23 m        5/2+     +3.3573(12)     ABLS         1981Th04             PR C23 2720 (81)

37 Rb 80   0     33.4 s      1+       -0.0833(7)      ABLS         1981Th04             PR C23 2720 (81)

37 Rb 81   0     4.57 h      3/2-     +2.0591(14)     ABLS         1981Th04             PR C23 2720 (81)
37 Rb 81   86    30.5 m      9/2+     +5.5969(17)     ABLS         1981Th04             PR C23 2720 (81)

37 Rb 82   0     1.26 m      1+       +0.554403(16)   ABLS         1986Du16/1981Th04 JPPa 47 1903 (86)/PR C23 2720 (81)
37 Rb 82   69    6.47 h      5-       +1.5096(11)     AB           1957Hu75             PR 107 723 (57)

37 Rb 83   0     86.2 d      5/2-     +1.4246(8)      ABLS         1981Th04             PR C23 2720 (81)

37 Rb 84   0     32.8 d      2-       -1.325(2)       ABLS         1981Th04             PR C23 2720 (81)
37 Rb 84   464   20.3 m      6-       +0.212893(6)    ABLS         1986Du16/1981Th04    JPPa 47 1903 (86)/PR C23 2720 (81)

37 Rb 85   0     stable      5/2-     +1.35306(4)     NMR          2012An18             CPL 532 1 (2012)

37 Rb 86   0     18.64 d     2-       -1.6974(16)     ABLS         1981Th04             PR C23 2720 (81)
37 Rb 86    556   1.02 m      (6-)     +1.8147(10)     ABLS         1981Th04             PR C23 2720 (81)

37 Rb 87   0     5.0 1010y   3/2-     +2.75129(8)     NMR          2012An18             CPL 532 1 (2012)

37 Rb 88   0     17.8 m      2-       0.50751(2)      AB           1979Ek02             PS 19 516 (79)

37 Rb 89   0     15.3 m      3/2-     +2.3831(7)      ABLS         1981Th04             PR C23 2720 (81)

37 Rb 90   107   4.26 m      3-       +1.6157(6)      ABLS         1981Th04             PR C23 2720 (81)

37 Rb 91   0     58.2 s      3/2(-)   +2.1811(15)     ABLS         1981Th04             PR C23 2720 (81)

37 Rb 93   0     5.84 s      5/2-     +1.4092(16)     ABLS         1981Th04             PR C23 2720 (81)

37 Rb 94   0     2.70 s      3(-)     +1.4981(18)     ABLS         1981Th04             PR C23 2720 (81)

37 Rb 95   0     0.38 s      5/2-     +1.333(3)       ABLS         1981Th04             PR C23 2720 (81)

37 Rb 96   0     0.20 s      2(-)     +1.4655(17)     ABLS         1981Th04             PR C23 2720 (81)

37 Rb 97   0     0.17 s      3/2+     +1.840(2)       ABLS         1981Th04             PR C23 2720 (81)

37 Rb 98   270   96 ms       (3-)     +1.784(1)       CLS          2015Pr05             Eur Phys J 51 23 (2015)

38 Sr 77   0     9.0 s       5/2(+)   -0.348(4)       CFBLS        1992Li11                PR C46 797 (92)

38 Sr 79   0     2.25 m      3/2(-)   -0.474(4)       CFBLS        1990Bu12             PR C41 2883 (90)

38 Sr 81   0     22.3 m      1/2-     +0.543(4)       CFBLS        1990Bu12             PR C41 2883 (90)

38 Sr 83   0     32.4 h      7/2+     -0.8295(7)      ABLFS        1987An02             ZP A326 493 (87)
38 Sr 83   259   5.0 s       1/2-     +0.581(4)       CFBLS        1990Bu12             PR C41 2883 (90)

38 Sr 85   0     64.8 d      9/2+     -1.0001(7)      ABLFS        1987An02             ZP A326 493 (87)
38 Sr 85   239   67.6 m      1/2-     +0.599(2)       ABLFS        1987An02             ZP A326 493 (87)

38 Sr 87   0     stable      9/2+     -1.09316(11)    NMR          2013An23             CPL 588 57 (2013)
38 Sr 87   388   2.82 h      1/2-     +0.624(4)       CFBLS        1990Bu12             PR C41 2883 (90)

38 Sr 89   0     50.6 d      5/2+     -1.148(2)       ABLFS        1987An02             ZP A326 493 (87)

38 Sr 91   0     9.65 h      5/2+     -0.885(2)       CFBLS        1990Bu12             PR C41 2883 (90)

38 Sr 93   0     7.4 m       5/2+     -0.793(2)       CFBLS        1990Bu12             PR C41 2883 (90)

38 Sr 95   0     23.9 s      1/2-     -0.537(2)       CFBLS        1990Bu12             PR C41 2883 (90)

38 Sr 97   0     0.43 s      1/2-     -0.498(2)       CFBLS        1990Bu12             PR C41 2883 (90)

38 Sr 99   0     0.269 s     3/2+     -0.261(5)       CFBLS        1991Li05             PL B256 141 (91)

39 Y 85    20    4.9 h       (9/2)+   6.2(5)          NO/S         1988Be46             HFI 43 477 (88)




21
39 Y 87     0      79.8 h        1/2-      -0.19(2)              CLS         2007Ch07   PL B645 133 (07)
39 Y 87     381    13.4 h        9/2+      +6.24(2)              CLS         2007Ch07   PL B645 133 (07)

39 Y 88     0      106.6 d       4-        -0.42(1)              CLS         2007Ch07   PL B645 133 (07)
39 Y 88     675    14 ms         8+        +4.88(3)              CLS         2007Ch07   PL B645 133 (07)

39 Y 89     0      stable        1/2-      -0.137298(5)          NMR         2016An22   CPL 660 127 (2016)
39 Y 89     909    15.7 s        9/2+      +6.37(4)              CLS         2007Ch07   PL B645 133 (07)

39 Y 90     0      64.0 h        2-        -1.628(8)             AB          1962Pe01   PR 125 284 (62)
39 Y 90     682    3.19 h        7+        +5.28(3)              CLS         2007Ch07   PL B645 133 (07)

39 Y 91     0      58.5 d        1/2-      0.1639(8)             AB          1962Pe21   PR 128 1740 (62)
39 Y 91     556    49.7 m         9/2+      5.96(4)               NMR/ON      1991Be18   PR C44 104 (91)

39 Y 92     0      3.54 h        2-        -0.67(2)              CLS         2007Ch07   PL B645 133 (07)

39 Y 93     0      10.2 h        1/2-      -0.139(1)             b-NMR/ON    2004Ni21   HFI 159 239 (2004)
39 Y 93     758    0.82 s        9/2+      +6.04(3)              CLS         2007Ch07   PL B645 133 (07)

39 Y 94     0      18.7 m        2-        -0.24(2)              CLS         2007Ch07   PL B645 133 (07)

39 Y 95     0      10.3 m        1/2-      -0.16(3)              CLS         2007Ch07   PL B645 133 (07)

39 Y 96     1140   9.6 s         8+        +6.57(3)              CLS         2007Ch07   PL B645 133 (07)

39 Y 97     0      3.75 s        1/2-      -0.12(1)              CLS         2007Ch07   PL B645 133 (07)
39 Y 97     668    1.17 s        9/2+      +5.88(2)              CLS         2007Ch07   PL B645 133 (07)
39 Y 97     3522   142 ms        (27/2-)   +5.64(3)              CLS         2007Bi14   PL B645 330 (07)

39 Y 98     410    2.0 s         4or5    +2.98(2)or+3.11(2) CLS        2007Ch07   PL B645 133 (07)

39 Y 99     0      1.48 s        5/2+      +3.18(2)              CLS         2007Ch07   PL B645 133 (07)

39 Y 100    0      0.94 s        4         +2.75(1)              CLS         2010BA31   J Phys G37 105103 (10)

39 Y 101    0      0.45 s        5/2+      +3.22(2)              CLS         2007Ch07   PL B645 133 (07)

39 Y 102    0+x    0.3 s         2or3    +2.34(5)or+2.68(1) CLS         2007Ch07   PL B645 133 (07)

40 Zr 87    0      1.68 h        9/2+      -0.894(5)             CLS         2003Th03   JP G29 2247 (03)
40 Zr 87    336    14.0 s        1/2-      +0.641(16)            CLS         2003Th03   JP G29 2247 (03)

40 Zr 89    0      78.4 h        9/2+      -1.045(6)             CLS         2002Fo12   JP G28 L63 (02)
40 Zr 89    588    4.16 m        1/2-      +0.794(18)            CLS         2003Th03   JP G29 2247 (03)

40 Zr 90    2319   0.8 s         5-        6.25(13)              NMR/ON      1987Ed02   NP A468 348 (87)

40 Zr 91    0      stable        5/2+      -1.3022(4)            N           1957Br26   PR 105 1929 (57)

40 Zr 95    0      64.0 d        5/2+      1.13(2)               NMR/ON      1991Be18   PR C44 104 (91)

40 Zr 97    0      16.7 h        1/2+      -0.936(5)             CLS         2003Th03   JP G29 2247 (03)

40 Zr 99    0      2.1 s         1/2+      -0.929(4)             CLS         2003Th03   JP G29 2247 (03)

40 Zr 101   0      2.3 s         (3/2+)    -0.272(8)             CLS         2003Th03   JP G29 2247 (03)

41 Nb 89    0      2.0 h         9/2+      6.216(5)              NMR/ON      1997Hi06   NP A620 317 (97)

41 Nb 90    0      14.6 h        8+        +4.946(4)             CLS         2009Ch25   PRL 102 222501 (09)
41 Nb 90    125    18.8 s        4-        -0.018(9)             CLS         2009Ch25   PRL 102 222501 (09)

41 Nb 91    0      680 y         9/2+      +6.513(3)             CLS         2009Ch25   PRL 102 222501 (09)
41 Nb 91    105    60.9 d        1/2-      -0.101(2)             CLS         2009Ch25   PRL 102 222501 (09)

41 Nb 92    0      3.5x107 y   7+        +5.130(4)             CLS         2009Ch25   PRL 102 222501 (09)
41 Nb 92    135    10.15 d       2+        +6.137(4)             NMR/ON      1981Ha24   NP A365 13 (81)




22
"41 Nb 93    0      stable      9/2+     +6.163(2)         N,O         1951Sh33, 1947Me27   PR 82 651 (51), PR 72 451 (47)"

41 Nb 95    0      35.0 d      9/2+     6.141(5)          NMR/ON      1986Ed01             NP A451 46 (86)

41 Nb 96    0      23.4 h      6+       4.975(4)          NMR/ON      1985Oh08             NP A445 29 (85)

41 Nb 97    0      72.1 m      9/2+     6.153(5)          NMR/ON      1991Be18             PR C44 104 (91)

41 Nb 99    0      15.0 s      9/2+     +5.96(3)          CLS         2009Ch25             PRL 102 222501 (09)

41 Nb 101   0      7.1 s       5/2+     +3.186(2)         CLS         2009Ch25             PRL 102 222501 (09)

41 Nb 103   0      1.5 s       5/2+     +3.133(4)         CLS         2009Ch25             PRL 102 222501 (09)

42 Mo 91    0      15.5 m      9/2+     -0.931(3)         TLS         2009Ch09             PL B674 23 (09)

42 Mo 93    2425   6.85 h      21/2+    +9.93(8)          NMR/ON      1981Ha12             PR C23 2252 (81)

42 Mo 95    0      stable      5/2+     -0.9132(3)        N           1951Pr02             PR 81 20 (51)

42 Mo 97    0      stable      5/2+     -0.9324(3)        N           1951Pr02             PR 81 20 (51)

42 Mo 99    0      65.9 h      1/2+     0.375(3)          AB          1978Ru04             PS 18 209 (78)

42 Mo 103   0      67.5 s      3/2+     -0.27(2)          TLS         2009Ch09             PL B674 23 (09)

42 Mo 105   0      35.6 s      (5/2-)   -0.55(2)          TLS         2009Ch09             PL B674 23 (09)

43 Tc 93    0      2.75 h      9/2+     6.32(6)           NMR/ON      1995Hi06             ZP A350 311 (95)

43 Tc 94    0      293 m       7+       5.12(5)           NMR/ON      1995Hi06             ZP A350 311 (95)

43 Tc 95    0      20.0 h      9/2+     5.94(6)           NMR/ON      1995Hi06             ZP A350 311 (95)

43 Tc 96    0      4.28 d      7+       5.09(5)           NMR/ON      1995Hi06             ZP A350 311 (95)

43 Tc 97    0      4.2x106 y   9/2+     5.82(9)           LRS         2017Ra01             HFI 238 15 (2017)

43 Tc 99    0      2.1x105 y   9/2+     +5.678(2)         N           1952Wa02             PR 85 479 (52)
43 Tc 99    181    3.61 ns     5/2+     3.48(4)           NMR/ON      1995Hi06             ZP A350 311 (95)

44 Ru 95    0      1.64 h      5/2+     0.861(7)          NMR/ON      1991Hi17             NP A534 339 (91)

44 Ru 97    0      2.8 d       5/2+     (-)0.787(8)       NMR/ON      1985Ed06/1980Le09    PR C32 1707 (85)/PR C21 2581 (80)

44 Ru 99    0      stable      5/2+     -0.641(5)         AB/D        1977Bu04             ZP A280 217 (77)

44 Ru 101 0        stable      5/2+     -0.718(6)         AB/D        1977Bu04             ZP A280 217 (77)

44 Ru 103   0      39.2 d      3/2+     0.206(3)          NMR/ON      1990Hi02             NP A509 541 (90)



45 Rh 99    65     4.7 h       9/2+     5.62(6)           NMR/ON      1995Se20             PR B51 11484 (95)

45 Rh 101   157    4.34 d      9/2+     5.43(6)           NMR/ON      1995Se20             PR B51 11484 (95)

45 Rh 102   0      206 d       2-       0.5(4)            NO/S        1975Sc09             NP A243 309 (75)
45 Rh 102   141    3.74 y      6+       4.01(4)           NMR/ON      1995Se20             PR B51 11484 (95)

45 Rh 103   0      stable      1/2-     -0.08829(3)       N           1955So10             PR 98 1316 (55)
45 Rh 103   40     56.1 m      7/2+     4.50(5)           NMR/ON      1995Se20             PR B51 11484 (95)

45 Rh 105   0      35.4 h      7/2+     4.41(5)           NMR/ON      1995Se20             PR B51 11484 (95)

45 Rh 106   0      30.1 s      1+       2.55(3)           NMR/ON      1990Oh01/1995Se20    PR C41 243 (90)/PR B51 11484 (95)

46 Pd 101   0      8.47 h      5/2+     (-)0.66(2)        NMR/ON      1986Ni02             NP A451 233 (86)

46 Pd 105   0      stable      5/2+     -0.642(3)         N           1964Se13             PR 136 A1119 (64)




23
47 Ag 97    0     25.5 s       (9/2+)   +6.13(12)            GCLS         2014Fe01            PL B728 191 (2014)

47 Ag 98    0     47.5 s       5or6   4.57(7)or4.64(7)   GCLS         2014Fe01            PL B728 191 (2014)

47 Ag 99    0     124 s        (9/2+)   +5.81(3)             GCLS         2014Fe01            PL B728 191 (2014)

47 Ag 100   0     2.01 m       5+       +4.37(3)             GCLS         2014Fe01            PL B728 191 (2014)

47 Ag 101   0     11.1 m       9/2+     +5.619(11)           CLS          1989Di12            NP A503 331 (89)

47 Ag 102   0     12.9 m       5+       4.6(7)               NO/S         1985Va06/1983Va09   HFI 22 483 (85)/NP A396 115c (83)
47 Ag 102   9     7.7 m        2+       4.1(3)               AB           1974Gr10            PR C9 2028(74)

47 Ag 103   0     65.7 m       7/2+     4.426(2)             CLS          1989Di12            NP A503 331 (89)

47 Ag 104   0     69 m         5+       3.914(3)             CLS          1989Di12            NP A503 331 (89)
47 Ag 104   7     33 m         2+       3.686(3)             NMR/ON       2010Go08            PR C81 054323 (2010)

47 Ag 105   0     41.3 d       1/2-     0.1013(10)           AB           1963Ew02            PR 129 1617 (63)
47 Ag 105   25    7.2 m        7/2+     4.408(13)            CLS          1989Di12            NP A503 331 (89)

47 Ag 106   0     24 m         1+       +2.8(2)              AB           1974Gr10            PR C9 2028 (1974)
47 Ag 106   90    8.3 d        6+       +3.704(4)            CLS          1989DI12            NP A503 331 (89)

47 Ag 107   0     stable       1/2-     -0.11352(5)          N            1974Sa25            ZNat 29a 1763 (74)
47 Ag 107   93    44.3 s       7/2+     +4.392(5)            NMR/ON       1985Ed01            PR C31 190 (85)

47 Ag 108   0     2.4 m        1+       2.6838(16)           b-NMR        1976Wi03            NP A261 261 (76)
47 Ag 108   109   438 y        6+       3.58(2)              O            1975Fi07            ZP A274 79 (75)

47 Ag 109   0     stable       1/2-     0.13051(5)           N            1974Sa25            ZNat 29a 1763 (74)
47 Ag 109   88    39.6 s       7/2+     4.394(6)             NMR/ON       1985Ed01/1971St09   PR C31 190 (85)/CJP 49 906 (71)

47 Ag 110   0     24.6 s       1+       2.7225(14)           b-NMR/AB     1976Wi03            NP A261 261 (76)/JP A2 658 (69)
47 Ag 110   118   250 d        6+       +3.602(4)            AB/D         1967Sc04            PR 154 1142 (67)

47 Ag 111   0     7.45 d       1/2-     -0.146(2)            AB           1956Wo27            PPS 69A 581 (56)

47 Ag 112   0     3.13 h       2(-)     0.0547(5)            AB           1964Ch06            PR 133 B1138 (64)

47 Ag 113   0     5.37 h       1/2-     0.159(2)             AB           1964Ch06            PR 133 B1138 (64)

48 Cd 101   0     1.36 m       5/2+     -0.8970(4)           CLS          2018Yo07            PR C98 011303(R) 2017

48 Cd 103   0     7.3 m        5/2+     -0.8486(4)           CLS          2018Yo07            PR C98 011303(R) 2017

48 Cd 105   0     56 m         5/2+     -0.7382(4)           CLS          2018Yo07            PR C98 011303(R) 2017

48 Cd 107   0     6.50 h       5/2+     -0.6141(3)           OP/RD        1972Sp09/1963By02   PL 42A 273 (72)/PR 132 1181 (63)

48 Cd 109   0     461 d        5/2+     -0.8266(4)           OP/RD        1972Sp09            PL 42A 273 (72)

48 Cd 111   0     stable       1/2+     -0.5940(3)           OP/RD        1972Sp09            PL 42A 273 (72)
48 Cd 111   396   48.5 m       11/2-    -1.1036(5)           CLS//OP/RD   2013Yo02/1969La06   PRL 110 192501 (2013)/PR 177 1615 (69)

48 Cd 113   0     8x1015 y   1/2+     -0.6213(3)           OP/RD        1972Sp09            PL 42A 273 (72)
48 Cd 113   264   14.1 y       11/2-    -1.0883(3)           OP/RD        1969Ch07            PL 29A 103 (69)

48 Cd 115   0     53.5 h       1/2+     -0.6483(2)           OP/RD        1969Ch07            PL 29A 103 (69)
48 Cd 115   181   44.6 d       11/2-    -1.0394(6)           OP/RD        1969Ch07            PL 29A 103 (69)

48 Cd 117   0     2.49 h       1/2+     -0.7425(4)           CLS          2013Yo02            PRL 110 192501 (2013)
48 Cd 117   136   3.36 h       11/2-    -0.9961(5)           CLS          2013Yo02            PRL 110 192501 (2013)

48 Cd 119   0     2.69 m       1/2+     -0.9188(4)           CLS          2013Yo02            PRL 110 192501 (2013)
48 Cd 119   147   2.20 m       11/2-    -0.9628(5)           CLS          2013Yo02            PRL 110 192501 (2013)

48 Cd 121   0     13.5 s       3/2+     +0.6260(7)           CLS          2013Yo02            PRL 110 192501 (2013)
48 Cd 121   215   8.3 s        11/2-    -1.0085(6)           CLS          2013Yo02            PRL 110 192501 (2013)




24
48 Cd 123   0       2.10 s       3/2+    +0.7885(7)    CLS          2013Yo02   PRL 110 192501 (2013)
48 Cd 123   317     1.82 s       11/2-   -1.0000(6)    CLS          2013Yo02   PRL 110 192501 (2013)

48 Cd 125   0       0.68 s       3/2+    +0.8591(7)    CLS          2013Yo02   PRL 110 192501 (2013)
48 Cd 125   0+x     0.48 s       11/2-   -0.9333(4)    CLS          2013Yo02   PRL 110 192501 (2013)

48 Cd 127   0       0.37 s       3/2+    +0.8771(8)    CLS          2013Yo02   PRL 110 192501 (2013)
48 Cd 127   0+x     ? ?          11/2-   -0.8690(5)    CLS          2013Yo02   PRL 110 192501 (2013)

48 Cd 129   0       154 ms       11/2-   -0.7052(6)    CLS          2013Yo02   PRL 110 192501 (2013)
48 Cd 129   0+x     146 ms       3/2+    +0.8469(9)    CLS          2013Yo02   PRL 110 192501 (2013)

49 In 104   0       1.7 m        5+      +4.43(2)      CFBLS        1987Eb02   NP A464 9 (87)

49 In 105   0       5.07 m       9/2+    +5.667(5)     CFBLS        1987Eb02   NP A464 9 (87)

49 In 106   0       6.2 m        7+      +4.908(7)     CFBLS        1987Eb02   NP A464 9 (87)

49 In 107   0       32.4 min     9/2+    +5.577(8)     CFBLS        1987Eb02   NP A464 9 (87)

49 In 108   0       58 m         7+      +4.554(3)     CFBLS        1987Eb02   NP A464 9 (87)
49 In 108   30      40 m         2+      +4.928(5)     CFBLS        1987Eb02   NP A464 9 (87)

49 In 109   0       4.2 h        9/2+    +5.530(4)     CFBLS        1987Eb02   NP A464 9 (87)

49 In 110   0       4.9 h        7+      +4.706(8)     CFBLS        1987Eb02   NP A464 9 (87)
49 In 110   62      69.1 m       2+      +4.365(4)     AB           L          Th Casserb (68)

49 In 111   0       2.83 d       9/2+    +5.495(7)     CFBLS        1987Eb02   NP A464 9 (87)

49 In 112   0       14.9 m       1+      +2.82(3)      AB           L          Th68 Casserb (68)
49 In 112   157     20.6 m       4+      +5.219(4)     CFBLS        1987Eb02   NP A464 9 (87)

49 In 113   0       stable       9/2+    +5.5208(4)    NMR          2015An17   JCP 143 074301 (2015)
49 In 113   392     99.5 m       1/2-    -0.21043(3)   AB           1960Ch08   PR 118 1578 (60)

49 In 114   0       71.9 s       1+      2.813(14)     NMR/ON       1982Nu02   PR C26 1702 (82)
49 In 114   190     49.5 d       5+      +4.646(5)     CFBLS        1987Eb02   NP A464 9 (87)

49 In 115   0       4.4x1014 y   9/2+    +5.5326(4)    NMR          2015An17   JCP 143 074301 (2015)
49 In 115   336     4.49 h       1/2-    -0.24362(5)   AB           1962Ca14   CJP 40 931 (62)

49 In 116   0       14.1 s       1+      2.7826(8)     b-NMR        1972La22   ZP 252 242 (72)
49 In 116   127     54.3 m       5+      +4.428(15)    CFBLS        1987Eb02   NP A464 9 (87)
49 In 116    290     2.18 s       8-      +3.210(11)    CFBLS        1987Eb02   NP A464 9 (87)

49 In 117   0       42 m         9/2+    +5.511(4)     CFBLS        1987Eb02   NP A464 9 (87)
49 In 117   315     1.93 h       1/2-    -0.25136(4)   AB           1968Mu04   CJP 46 177 (68)

49 In 118   ~60     4.45 m       5+      +4.225(9)     CFBLS        1987Eb02   NP A464 9 (87)
49 In 118   ~200    8.5 s        8-      +3.316(11)    CFBLS        1987Eb02   NP A464 9 (87)

49 In 119   0       2.4 m        9/2+    +5.507(10)    CFBLS        1987Eb02   NP A464 9 (87)
49 In 119   311     18 m         1/2-    -0.319(5)     CFBLS        1987Eb02   NP A464 9 (87)49 In 119  

49 In 120   0+x     47.3 s       8-      +3.687(4)     CFBLS        1987Eb02   NP A464 9 (87)
49 In 120   (70)    46.2 s       5+      +4.289(5)     CFBLS        1987Eb02   NP A464 9 (87)

49 In 121   0       23.1 s       9/2+    +5.494(5)     CFBLS        1987Eb02   NP A464 9 (87)
49 In 121    314     3.9 m        1/2-    -0.354(4)     CFBLS        1987Eb02   NP A464 9 (87)

49 In 122   (40)    10.3 s       5+      +4.312(5)     CFBLS        1987Eb02   NP A464 9 (87)
49 In 122   -262    10.8 s       8-      +3.776(6)     CFBLS        1987Eb02   NP A464 9 (87)

49 In 123   0       6.17 s       9/2+    +5.483(7)     CFBLS        1987Eb02   NP A464 9 (87)
49 In 123   327     47.4 s       1/2-    -0.399(4)     CFBLS        1987Eb02   NP A464 9 (87)

49 In 124   0       3.12 s       3+      +4.037(11)    CFBLS        1987Eb02   NP A464 9 (87)
49 In 124   (<50)   3.7 s        8-      +3.882(9)     CFBLS        1987Eb02   NP A464 9 (87)




25
49 In 125   0       2.36 s    9/2+    +5.494(9)     CFBLS        1987Eb02   NP A464 9 (87)
49 In 125   360     12.2 s    1/2-    -0.432(4)     CFBLS        1987Eb02   NP A464 9 (87)

49 In 126   0       1.53 s    3+      +4.028(11)    CFBLS        1987Eb02   NP A464 9 (87)
49 In 126   (102)   1.64 s    8-      +4.055(4)     CFBLS        1987Eb02   NP A464 9 (87)

49 In 127   0       1.09 s    9/2+    +5.514(8)     CFBLS        1987Eb02   NP A464 9 (87)

50 Sn 109   0       18.0 m    5/2+    -1.078(6)     CFBLS        1987Eb01   ZP A326 121 (87)

50 Sn 111   0       35.3 m    7/2+    +0.607(4)     CFBLS        1987Eb01   ZP A326 121 (87)

50 Sn 113   0       115 d     1/2+    -0.8777(8)    ABLFS        1986An24   PR C34 1052 (86)

50 Sn 115   0       stable    1/2+    -0.9174(4)    N            1950Pr51   PR 79 35 (50)

50 Sn 117   0       stable    1/2+    -0.9995(5)    N            1950Pr51   PR 79 35 (50)
50 Sn 117   315     14.0 d    11/2-   -1.3937(12)   ABLFS        1986An24   PR C34 1052 (86)

50 Sn 119   0       stable    1/2+    -1.0459(5)    N            1950Pr51   PR 79 35 (50)
50 Sn 119   90      293.1 d   11/2-   -1.40(8)      ME           1972Gu09   PL 40A 297 (72)

50 Sn 121   0       27.0 y    3/2+    +0.6969(11)   ABLFS        1986An24   PR C34 1052 (86)
50 Sn 121   6.3     43.9 y    11/2-   -1.3859(11)   ABLFS        1986An24   PR C34 1052 (86)

50 Sn 123   0       129 d     11/2-   -1.3682(11)   ABLFS        1986An24   PR C34 1052 (86)

50 Sn 125   0       9.64 d    11/2-   -1.346(2)     ABLFS        1986An24   PR C34 1052 (86)
50 Sn 125   28      9.5 m     3/2+    +0.763(3)     ABLFS        2005Le34   PR C72 034305 (05)

50 Sn 127   0       2.1 h     11/2-   -1.327(7)     ABLFS        2005Le34   PR C72 034305 (05)
50 Sn 127   5       4.13 m    3/2+    +0.756(4)     ABLFS        2005Le34   PR C72 034305 (05)

50 Sn 129   0       2.23 m    3/2+    +0.753(3)     ABLFS        2005Le34   PR C72 034305 (05)
50 Sn 129   35      6.9 m     11/2-   -1.295(5)     ABLFS        2005Le34   PR C72 034305 (05)

50 Sn 130   1947    1.7 m     7-      -0.381(3)     ABLFS        2005Le34   PR C72 034305 (05)

50 Sn 131   0       56 s      3/2+    +0.746(4)     ABLFS        2005Le34   PR C72 034305 (05)
50 Sn 131   242     58.4 s    11/2-   -1.274(5)     ABLFS        2005Le34   PR C72 034305 (05)

51 Sb 114   0       3.49 m    3+      1.72(8)       NO/S         1993Bo46   HFI 78 133 (93)

51 Sb 115   0       32.1 m    5/2+    +3.46(1)      AB           1968Ja05   PR 175 65 (68)

51 Sb 116   0       15.8 m    3+      2.715(9)      NMR/ON       1986Gr16   PL 177B 159 (86)
